Paper_name,Paper_link,Paper_type,volume,issue,pub_date,Paper_ID,1,2,3,4,5,6,7
Rev-Erbs repress macrophage gene expression by inhibiting enhancer-directed transcription,/nature/journal/v498/n7455/full/nature12209.html,letter,498,7455,27 June 2013,12209.html,Transcription,,,,,,
Functional roles of enhancer RNAs for oestrogen-dependent transcriptional activation,/nature/journal/v498/n7455/full/nature12210.html,letter,498,7455,27 June 2013,12210.html,Small RNAs,,,,,,
Unusual architecture of the p7 channel from hepatitis C virus,/nature/journal/v498/n7455/full/nature12283.html,letter,498,7455,27 June 2013,12283.html,Solution-state NMR,,,,,,
Combinatorial temporal patterning in progenitors expands neural diversity,/nature/journal/v498/n7455/full/nature12266.html,article,498,7455,27 June 2013,12266.html,Stem cells,,,,,,
Temporal patterning of  Drosophila u medulla neuroblasts controls neural fates,/nature/journal/v498/n7455/full/nature12319.html,article,498,7455,27 June 2013,12319.html,Developmental neurogenesis,Neural progenitors,Neural stem cells,,,,
The rapid assembly of an elliptical galaxy of 400 billion solar masses at a redshift of 2.3,/nature/journal/v498/n7454/full/nature12184.html,letter,498,7454,20 June 2013,12184.html,Galaxies and clusters,,,,,,
Volcanism on Mars controlled by early oxidation of the upper mantle,/nature/journal/v498/n7454/full/nature12225.html,letter,498,7454,20 June 2013,12225.html,Inner planets,Geochemistry,,,,,
Masses of exotic calcium isotopes pin down nuclear forces,/nature/journal/v498/n7454/full/nature12226.html,letter,498,7454,20 June 2013,12226.html,Theoretical nuclear physics,Experimental nuclear physics,,,,,
Defect pair separation as the controlling step in homogeneous ice melting,/nature/journal/v498/n7454/full/nature12190.html,letter,498,7454,20 June 2013,12190.html,Chemical physics,Chemical physics,,,,,
The importance of feldspar for ice nucleation by mineral dust in mixed-phase clouds,/nature/journal/v498/n7454/full/nature12278.html,letter,498,7454,20 June 2013,12278.html,Atmospheric science,,,,,,
A Jurassic avialan dinosaur from China resolves the early phylogenetic history of birds,/nature/journal/v498/n7454/full/nature12168.html,letter,498,7454,20 June 2013,12168.html,Palaeontology,,,,,,
Distinct behavioural and network correlates of two interneuron types in prefrontal cortex,/nature/journal/v498/n7454/full/nature12176.html,letter,498,7454,20 June 2013,12176.html,Decision,,,,,,
Topographic diversity of fungal and bacterial communities in human skin,/nature/journal/v498/n7454/full/nature12171.html,letter,498,7454,20 June 2013,12171.html,Genetics research,,,,,,
Neutrophil swarms require LTB4 and integrins at sites of cell death  in vivo ,/nature/journal/v498/n7454/full/nature12175.html,letter,498,7454,20 June 2013,12175.html,Amoeboid migration,Acute inflammation,Chemotaxis,Imaging the immune system,,,
HIV-1 causes CD4 cell death through DNA-dependent protein kinase during viral integration,/nature/journal/v498/n7454/full/nature12274.html,letter,498,7454,20 June 2013,12274.html,Pathogens,,,,,,
cGAS produces a 2-5-linked cyclic dinucleotide second messenger that activates STING,/nature/journal/v498/n7454/full/nature12306.html,letter,498,7454,20 June 2013,12306.html,Innate immunity,Signal transduction,Inflammation,,,,
Polymerase IV occupancy at RNA-directed DNA methylation sites requires SHH1,/nature/journal/v498/n7454/full/nature12178.html,letter,498,7454,20 June 2013,12178.html,Transgenic plants,X-ray crystallography,Histone post-translational modifications,Computational biology and bioinformatics,,,
Modulation of allostery by protein intrinsic disorder,/nature/journal/v498/n7454/full/nature12294.html,letter,498,7454,20 June 2013,12294.html,Intrinsically disordered proteins,Single-molecule biophysics,,,,,
Anisotropic leaky-mode modulator for holographic video displays,/nature/journal/v498/n7454/full/nature12217.html,article,498,7454,20 June 2013,12217.html,Displays,Electrical and electronic engineering,,,,,
The linear ubiquitin-specific deubiquitinase gumby regulates angiogenesis,/nature/journal/v498/n7454/full/nature12296.html,article,498,7454,20 June 2013,12296.html,Development,Enzyme mechanisms,Angiogenesis,Disease model,,,
RAS MAPK MSK1 pathway modulates ataxin 1 protein levels and toxicity in SCA1,/nature/journal/v498/n7454/full/nature12204.html,article,498,7454,20 June 2013,12204.html,Spinocerebellar ataxia,,,,,,
Structural mechanism of cytosolic DNA sensing by cGAS,/nature/journal/v498/n7454/full/nature12305.html,article,498,7454,20 June 2013,12305.html,X-ray crystallography,Pattern recognition receptors,,,,,
Sodium content as a predictor of the advanced evolution of globular cluster stars,/nature/journal/v498/n7453/full/nature12191.html,letter,498,7453,13 June 2013,12191.html,Stars,,,,,,
The spin Hall effect in a quantum gas,/nature/journal/v498/n7453/full/nature12185.html,letter,498,7453,13 June 2013,12185.html,Ultracold gases,,,,,,
A temporal cloak at telecommunication data rate,/nature/journal/v498/n7453/full/nature12224.html,letter,498,7453,13 June 2013,12224.html,Fibre optics and optical communications,Transformation optics,Metamaterials,Ultrafast photonics,,,
Heat dissipation in atomic-scale junctions,/nature/journal/v498/n7453/full/nature12183.html,letter,498,7453,13 June 2013,12183.html,Molecular electronics,Scanning probe microscopy,,,,,
Small effect of water on upper-mantle rheology based on silicon self-diffusion coefficients,/nature/journal/v498/n7453/full/nature12193.html,letter,498,7453,13 June 2013,12193.html,Geodynamics,Mineralogy,,,,,
Barium distributions in teeth reveal early-life dietary transitions in primates,/nature/journal/v498/n7453/full/nature12169.html,letter,498,7453,13 June 2013,12169.html,Evolutionary theory,Biogeochemistry,Bone development,Biomarkers,,,
De novo u mutations in histone-modifying genes in congenital heart disease,/nature/journal/v498/n7453/full/nature12141.html,letter,498,7453,13 June 2013,12141.html,Development,Medical genetics,Epigenetics,,,,
RIP1-driven autoinflammation targets IL-1 α u independently of inflammasomes and RIP3,/nature/journal/v498/n7453/full/nature12174.html,letter,498,7453,13 June 2013,12174.html,Inflammation,,,,,,
Vector transmission regulates immune control of  Plasmodium u virulence,/nature/journal/v498/n7453/full/nature12231.html,letter,498,7453,13 June 2013,12231.html,Infection,,,,,,
Negligible impact of rare autoimmune-locus coding-region variants on missing heritability,/nature/journal/v498/n7453/full/nature12170.html,letter,498,7453,13 June 2013,12170.html,Genetic association study,Autoimmune diseases,Next-generation sequencing,Autoimmunity,,,
Single-cell transcriptomics reveals bimodality in expression and splicing in immune cells,/nature/journal/v498/n7453/full/nature12172.html,letter,498,7453,13 June 2013,12172.html,Gene expression profiling,Transcriptomics,RNA sequencing,Single-cell imaging,,,
MBNL proteins repress ES-cell-specific alternative splicing and reprogramming,/nature/journal/v498/n7453/full/nature12270.html,letter,498,7453,13 June 2013,12270.html,Alternative splicing,Stem cells,Gene regulation,Transcriptomics,,,
The bromodomain protein Brd4 insulates chromatin from DNA damage signalling,/nature/journal/v498/n7453/full/nature12147.html,letter,498,7453,13 June 2013,12147.html,DNA damage response,Chromatin remodelling,Checkpoint signalling,,,,
Chromosome-specific nonrandom sister chromatid segregation during stem-cell division,/nature/journal/v498/n7453/full/nature12106.html,letter,498,7453,13 June 2013,12106.html,Adult stem cells,Adult stem cells,Chromosome segregation,,,,
Locomotion dynamics of hunting in wild cheetahs,/nature/journal/v498/n7453/full/nature12295.html,article,498,7453,13 June 2013,12295.html,Biomechanics,,,,,,
X-ray structure of the mammalian GIRK2 \u03b2 γ u G-protein complex,/nature/journal/v498/n7453/full/nature12241.html,article,498,7453,13 June 2013,12241.html,Potassium channels,Ion transport,X-ray crystallography,G-protein-coupled receptors,,,
Bounding the pseudogap with a line of phase transitions in YBa 2 uCu 3 uO 6+δ ,/nature/journal/v498/n7452/full/nature12165.html,letter,498,7452,6 June 2013,12165.html,Superconducting properties and materials,,,,,,
Second sound and the superfluid fraction in a Fermi gas with resonant interactions,/nature/journal/v498/n7452/full/nature12136.html,letter,498,7452,6 June 2013,12136.html,Quantum fluids and solids,,,,,,
Chemical mapping of a single molecule by plasmon-enhanced Raman scattering,/nature/journal/v498/n7452/full/nature12151.html,letter,498,7452,6 June 2013,12151.html,Nanophotonics and plasmonics,,,,,,
Argon isotopic composition of Archaean atmosphere probes early Earth geodynamics,/nature/journal/v498/n7452/full/nature12152.html,letter,498,7452,6 June 2013,12152.html,Geodynamics,Geochemistry,Geology,,,,
The rewards of restraint in the collective regulation of foraging by harvester ant colonies,/nature/journal/v498/n7452/full/nature12137.html,letter,498,7452,6 June 2013,12137.html,Behavioural ecology,Evolutionary ecology,,,,,
Architecture and evolution of a minute plant genome,/nature/journal/v498/n7452/full/nature12132.html,letter,498,7452,6 June 2013,12132.html,Genome,,,,,,
Gut metagenome in European women with normal impaired and diabetic glucose control,/nature/journal/v498/n7452/full/nature12198.html,letter,498,7452,6 June 2013,12198.html,Microbiology,Physiology,,,,,
Stepwise acquisition of vocal combinatorial capacity in songbirds and human infants,/nature/journal/v498/n7452/full/nature12173.html,letter,498,7452,6 June 2013,12173.html,Birdsong,,,,,,
A key role for mitochondrial gatekeeper pyruvate dehydrogenase in oncogene-induced senescence,/nature/journal/v498/n7452/full/nature12154.html,letter,498,7452,6 June 2013,12154.html,Senescence,Cancer,,,,,
Innate lymphoid cells regulate CD4 + u T-cell responses to intestinal commensal bacteria,/nature/journal/v498/n7452/full/nature12240.html,letter,498,7452,6 June 2013,12240.html,Chronic inflammation,MHC class II,Mucosal immunology,Innate lymphoid cells,,,
Control of angiogenesis by AIBP-mediated cholesterol efflux,/nature/journal/v498/n7452/full/nature12166.html,letter,498,7452,6 June 2013,12166.html,Angiogenesis,Lipoproteins,Fat metabolism,,,,
Structure-guided discovery of the metabolite carboxy-SAM that modulates tRNA function,/nature/journal/v498/n7452/full/nature12180.html,letter,498,7452,6 June 2013,12180.html,RNA,tRNAs,RNA modification,X-ray crystallography,,,
The oldest known primate skeleton and early haplorhine evolution,/nature/journal/v498/n7452/full/nature12200.html,article,498,7452,6 June 2013,12200.html,Palaeontology,,,,,,
Rats maintain an overhead binocular field at the expense of constant fusion,/nature/journal/v498/n7452/full/nature12153.html,article,498,7452,6 June 2013,12153.html,Visual system,,,,,,
KAT5 tyrosine phosphorylation couples chromatin sensing to ATM signalling,/nature/journal/v498/n7452/full/nature12201.html,article,498,7452,6 June 2013,12201.html,Checkpoint signalling,DNA damage checkpoints,DNA damage response,Kinases,,,
An anti-glitch in a magnetar,/nature/journal/v497/n7451/full/nature12159.html,letter,497,7451,30 May 2013,12159.html,Stars,,,,,,
Cloning of Dirac fermions in graphene superlattices,/nature/journal/v497/n7451/full/nature12187.html,letter,497,7451,30 May 2013,12187.html,Electronic properties and materials,Electronic properties and devices,Quantum Hall,,,,
Hofstadters butterfly and the fractal quantum Hall effect in moir\xe9 superlattices,/nature/journal/v497/n7451/full/nature12186.html,letter,497,7451,30 May 2013,12186.html,Quantum Hall,Electronic properties and materials,Electronic properties and devices,,,,
Persistent export of  231 uPa from the deep central Arctic Ocean over the past 35000 years,/nature/journal/v497/n7451/full/nature12145.html,letter,497,7451,30 May 2013,12145.html,Palaeoceanography,Palaeoclimate,Marine chemistry,,,,
Emergence of two types of terrestrial planet on solidification of magma ocean,/nature/journal/v497/n7451/full/nature12163.html,letter,497,7451,30 May 2013,12163.html,Inner planets,Inner planets,,,,,
Palaeontological evidence for an Oligocene divergence between Old World monkeys and apes,/nature/journal/v497/n7451/full/nature12161.html,letter,497,7451,30 May 2013,12161.html,Palaeontology,Biological anthropology,,,,,
Long-term warming restructures Arctic tundra without changing net soil carbon storage,/nature/journal/v497/n7451/full/nature12129.html,letter,497,7451,30 May 2013,12129.html,Climate-change ecology,Ecosystem ecology,Biogeochemistry,Biogeochemistry,,,
Synthetic analog computation in living cells,/nature/journal/v497/n7451/full/nature12148.html,letter,497,7451,30 May 2013,12148.html,Synthetic biology,,,,,,
BAF complexes facilitate decatenation of DNA by topoisomerase II α,/nature/journal/v497/n7451/full/nature12146.html,letter,497,7451,30 May 2013,12146.html,Paediatric cancer,Chromatin,Chromosome segregation,,,,
Specialized filopodia direct long-range transport of SHH during vertebrate tissue patterning,/nature/journal/v497/n7451/full/nature12157.html,letter,497,7451,30 May 2013,12157.html,Pattern formation,Cell signalling,,,,,
Macropinocytosis of protein is an amino acid supply route in Ras-transformed cells,/nature/journal/v497/n7451/full/nature12138.html,letter,497,7451,30 May 2013,12138.html,Cancer,Cell biology,,,,,
Small molecule inhibition of the KRAS PDE δ u interaction impairs oncogenic KRAS signalling,/nature/journal/v497/n7451/full/nature12205.html,letter,497,7451,30 May 2013,12205.html,Small molecules,Growth signalling,Oncogenes,,,,
Mature HIV-1 capsid structure by cryo-electron microscopy and all-atom molecular dynamics,/nature/journal/v497/n7451/full/nature12162.html,letter,497,7451,30 May 2013,12162.html,Computational models,Pathogens,Cryoelectron microscopy,,,,
Crystal structure of a nitrate/nitrite exchanger,/nature/journal/v497/n7451/full/nature12139.html,letter,497,7451,30 May 2013,12139.html,X-ray crystallography,Transporters,,,,,
The Norway spruce genome sequence and conifer genome evolution,/nature/journal/v497/n7451/full/nature12211.html,article,497,7451,30 May 2013,12211.html,Plant sciences,,,,,,
The importance of mixed selectivity in complex cognitive tasks,/nature/journal/v497/n7451/full/nature12160.html,article,497,7451,30 May 2013,12160.html,Neural encoding,Cognitive control,,,,,
Shear-driven dynamo waves at high magnetic Reynolds number,/nature/journal/v497/n7450/full/nature12177.html,letter,497,7450,23 May 2013,12177.html,Computational astrophysics,Stars,Applied mathematics,,,,
Flux-freezing breakdown in high-conductivity magnetohydrodynamic turbulence,/nature/journal/v497/n7450/full/nature12128.html,letter,497,7450,23 May 2013,12128.html,Astronomy and astrophysics,Astrophysical plasmas,Applied mathematics,Information technology,,,
All-angle negative refraction and active flat lensing of ultraviolet light,/nature/journal/v497/n7450/full/nature12158.html,letter,497,7450,23 May 2013,12158.html,Metamaterials,,,,,,
Enantiomer-specific detection of chiral molecules via microwave spectroscopy,/nature/journal/v497/n7450/full/nature12150.html,letter,497,7450,23 May 2013,12150.html,Spectroscopy,Characterization and analytical techniques,Circular dichroism,Spectroscopy,,,
Weakened stratospheric quasibiennial oscillation driven by increased tropical mean upwelling,/nature/journal/v497/n7450/full/nature12140.html,letter,497,7450,23 May 2013,12140.html,Atmospheric dynamics,,,,,,
Corticostriatal neurons in auditory cortex drive decisions during auditory discrimination,/nature/journal/v497/n7450/full/nature12077.html,letter,497,7450,23 May 2013,12077.html,Cortex,,,,,,
Non-redundant coding of aversive odours in the main olfactory pathway,/nature/journal/v497/n7450/full/nature12114.html,letter,497,7450,23 May 2013,12114.html,Olfactory system,,,,,,
Sema3A regulates bone-mass accrual through sensory innervations,/nature/journal/v497/n7450/full/nature12115.html,letter,497,7450,23 May 2013,12115.html,Bone remodelling  central control,,,,,,
Immune surveillance by CD8 α α + u skin-resident T   ucells in human herpes virus infection,/nature/journal/v497/n7450/full/nature12110.html,letter,497,7450,23 May 2013,12110.html,Viral infection,,,,,,
The TLR4 antagonist Eritoran protects mice from lethal influenza infection,/nature/journal/v497/n7450/full/nature12118.html,letter,497,7450,23 May 2013,12118.html,Viral infection,,,,,,
The microRNA miR-235 couples blast-cell quiescence to the nutritional state,/nature/journal/v497/n7450/full/nature12117.html,letter,497,7450,23 May 2013,12117.html,Quiescence,Stem cells,miRNAs,Insulin signalling,,,
Lamin A/C and emerin regulate MKL1 SRF activity by modulating actin dynamics,/nature/journal/v497/n7450/full/nature12105.html,letter,497,7450,23 May 2013,12105.html,Mechanisms of disease,Cell signalling,,,,,
Reconfiguration of the proteasome during chaperone-mediated assembly,/nature/journal/v497/n7450/full/nature12123.html,letter,497,7450,23 May 2013,12123.html,Biochemistry,Electron microscopy,,,,,
Nonsense mutation in the  LGR4 u gene is associated with several human diseases and other traits,/nature/journal/v497/n7450/full/nature12124.html,letter,497,7450,23 May 2013,12124.html,Genetics research,Tumour suppressors,Genome-wide association studies,Osteoporosis,,,
Crystal structure of the integral membrane diacylglycerol kinase,/nature/journal/v497/n7450/full/nature12179.html,letter,497,7450,23 May 2013,12179.html,X-ray crystallography,Kinases,,,,,
Mitonuclear protein imbalance as a conserved longevity mechanism,/nature/journal/v497/n7450/full/nature12188.html,article,497,7450,23 May 2013,12188.html,Ageing,,,,,,
Pif1 family helicases suppress genome instability at G-quadruplex motifs,/nature/journal/v497/n7450/full/nature12149.html,article,497,7450,23 May 2013,12149.html,DNA,DNA metabolism,DNA recombination,Telomeres,,,
Atmospheric confinement of jet streams on Uranus and Neptune,/nature/journal/v497/n7449/full/nature12131.html,letter,497,7449,16 May 2013,12131.html,Giant planets,Giant planets,Atmospheric dynamics,Giant planets,,,
An electrically pumped polariton laser,/nature/journal/v497/n7449/full/nature12036.html,letter,497,7449,16 May 2013,12036.html,Two-dimensional materials,Semiconductors,Semiconductor lasers,Quantum fluids and solids,,,
A new anode material for oxygen evolution in molten oxide electrolysis,/nature/journal/v497/n7449/full/nature12134.html,letter,497,7449,16 May 2013,12134.html,Metals and alloys,Electrochemistry,"Design, synthesis and processing",,,,
Deep fracture fluids isolated in the crust since the Precambrian era,/nature/journal/v497/n7449/full/nature12127.html,letter,497,7449,16 May 2013,12127.html,Geochemistry,,,,,,
Adaptive dynamics under development-based genotype phenotype maps,/nature/journal/v497/n7449/full/nature12142.html,letter,497,7449,16 May 2013,12142.html,Evolutionary theory,Morphogenesis,,,,,
Signature of ocean warming in global fisheries catch,/nature/journal/v497/n7449/full/nature12156.html,letter,497,7449,16 May 2013,12156.html,Ecology,,,,,,
Protective astrogenesis from the SVZ niche after injury is controlled by Notch modulator Thbs4,/nature/journal/v497/n7449/full/nature12069.html,letter,497,7449,16 May 2013,12069.html,Regeneration and repair in the nervous system,Adult neurogenesis,Neural stem cells,Gliogenesis,,,
X-ray phase-contrast  in vivo u microtomography probes new aspects of  Xenopus u gastrulation,/nature/journal/v497/n7449/full/nature12116.html,letter,497,7449,16 May 2013,12116.html,X-rays,Computer science,Gastrulation,,,,
The shaping and functional consequences of the microRNA landscape in breast cancer,/nature/journal/v497/n7449/full/nature12108.html,letter,497,7449,16 May 2013,12108.html,Cancer genomics,,,,,,
EGFR modulates microRNA maturation in response to hypoxia through phosphorylation of AGO2,/nature/journal/v497/n7449/full/nature12080.html,letter,497,7449,16 May 2013,12080.html,Cell signalling,RNAi,,,,,
Psl trails guide exploration and microcolony formation in  Pseudomonas aeruginosa u biofilms,/nature/journal/v497/n7449/full/nature12155.html,letter,497,7449,16 May 2013,12155.html,Biofilms,,,,,,
Receptor binding by a ferret-transmissible H5 avian influenza virus,/nature/journal/v497/n7449/full/nature12144.html,letter,497,7449,16 May 2013,12144.html,Structural biology,Medical research,,,,,
Inferring ancient divergences requires genes with strong phylogenetic signals,/nature/journal/v497/n7449/full/nature12130.html,article,497,7449,16 May 2013,12130.html,Phylogenetics,Phylogeny,,,,,
Structural and molecular interrogation of intact biological systems,/nature/journal/v497/n7449/full/nature12107.html,article,497,7449,16 May 2013,12107.html,Molecular neuroscience,,,,,,
Structure of the human smoothened receptor bound to an antitumour agent,/nature/journal/v497/n7449/full/nature12167.html,article,497,7449,16 May 2013,12167.html,X-ray crystallography,G-protein-coupled receptors,Growth signalling,,,,
Discrete clouds of neutral gas between the galaxies M31 and M33,/nature/journal/v497/n7448/full/nature12082.html,letter,497,7448,9 May 2013,12082.html,Galaxies and clusters,,,,,,
Bell violation using entangled photons without the fair-sampling assumption,/nature/journal/v497/n7448/full/nature12012.html,letter,497,7448,9 May 2013,12012.html,Quantum mechanics,,,,,,
Formation of a topological non-Fermi liquid in MnSi,/nature/journal/v497/n7448/full/nature12023.html,letter,497,7448,9 May 2013,12023.html,Magnetic properties and materials,,,,,,
Future sea-level rise from Greenlands main outlet glaciers in a warming climate,/nature/journal/v497/n7448/full/nature12068.html,letter,497,7448,9 May 2013,12068.html,Cryospheric science,,,,,,
M-CSF instructs myeloid lineage fate in single haematopoietic stem cells,/nature/journal/v497/n7448/full/nature12026.html,letter,497,7448,9 May 2013,12026.html,Haematopoietic stem cells,Haematopoietic stem cells,Cytokines,,,,
A role for the Perlman syndrome exonuclease Dis3l2 in the Lin28 let-7 pathway,/nature/journal/v497/n7448/full/nature12119.html,letter,497,7448,9 May 2013,12119.html,miRNAs,RNA decay,Embryonic stem cells,Embryonic stem cells,,,
Meis1 regulates postnatal cardiomyocyte cell cycle arrest,/nature/journal/v497/n7448/full/nature12054.html,letter,497,7448,9 May 2013,12054.html,Cell biology,Cardiac regeneration,,,,,
A CRISPR/Cas system mediates bacterial innate immune evasion and virulence,/nature/journal/v497/n7448/full/nature12048.html,letter,497,7448,9 May 2013,12048.html,Bacterial genetics,Pathogens,Innate immunity,RNAi,,,
Thymus-derived regulatory T cells contribute to tolerance to commensal microbiota,/nature/journal/v497/n7448/full/nature12079.html,letter,497,7448,9 May 2013,12079.html,Mucosal immunology,,,,,,
Phosphatidylserine receptor BAI1 and apoptotic cells as new promoters of myoblast fusion,/nature/journal/v497/n7448/full/nature12135.html,letter,497,7448,9 May 2013,12135.html,Cell death,,,,,,
Crystal structure of a folate energy-coupling factor transporter from  Lactobacillus brevis ,/nature/journal/v497/n7448/full/nature12046.html,letter,497,7448,9 May 2013,12046.html,Transporters,X-ray crystallography,,,,,
Structure of a bacterial energy-coupling factor transporter,/nature/journal/v497/n7448/full/nature12045.html,letter,497,7448,9 May 2013,12045.html,X-ray crystallography,Membrane biophysics,Membrane structure and assembly,,,,
Studies of pear-shaped nuclei using accelerated radioactive beams,/nature/journal/v497/n7448/full/nature12073.html,article,497,7448,9 May 2013,12073.html,Experimental nuclear physics,Phenomenology,,,,,
Hierarchy of orofacial rhythms revealed through whisking and breathing,/nature/journal/v497/n7448/full/nature12076.html,article,497,7448,9 May 2013,12076.html,Sensorimotor processing,,,,,,
Hypothalamic programming of systemic ageing involving IKK-\u03b2 NF-\u03baB and GnRH,/nature/journal/v497/n7448/full/nature12143.html,article,497,7448,9 May 2013,12143.html,Ageing,,,,,,
mTOR kinase structure mechanism and regulation,/nature/journal/v497/n7448/full/nature12122.html,article,497,7448,9 May 2013,12122.html,TOR signalling,Growth signalling,X-ray crystallography,Kinases,,,
Heralded entanglement between solid-state qubits separated by three metres,/nature/journal/v497/n7447/full/nature12016.html,letter,497,7447,2 May 2013,12016.html,Quantum information,Quantum optics,Quantum mechanics,,,,
Optical addressing of an individual erbium ion in silicon,/nature/journal/v497/n7447/full/nature12081.html,letter,497,7447,2 May 2013,12081.html,Quantum information,Quantum information,,,,,
Digital cameras with designs inspired by the arthropod eye,/nature/journal/v497/n7447/full/nature12083.html,letter,497,7447,2 May 2013,12083.html,Materials for devices,Engineering,Optics and photonics,,,,
Long-term sedimentary recycling of rare sulphur isotope anomalies,/nature/journal/v497/n7447/full/nature12021.html,letter,497,7447,2 May 2013,12021.html,Planetary science,,,,,,
Linking the evolution of body shape and locomotor biomechanics in bird-line archosaurs,/nature/journal/v497/n7447/full/nature12059.html,letter,497,7447,2 May 2013,12059.html,Palaeontology,,,,,,
Non-invasive analysis of acquired resistance to cancer therapy by sequencing of plasma DNA,/nature/journal/v497/n7447/full/nature12065.html,letter,497,7447,2 May 2013,12065.html,Genome evolution,Cancer genomics,Translational research,Next-generation sequencing,,,
Random convergence of olfactory inputs in the  Drosophila u mushroom body,/nature/journal/v497/n7447/full/nature12063.html,letter,497,7447,2 May 2013,12063.html,Olfactory system,,,,,,
Tension sensing by Aurora B kinase is independent of survivin-based centromere localization,/nature/journal/v497/n7447/full/nature12057.html,letter,497,7447,2 May 2013,12057.html,Chromosome segregation,Centromeres,Mitosis,,,,
Modulation of TET2 expression and 5-methylcytosine oxidation by the CXXC domain protein IDAX,/nature/journal/v497/n7447/full/nature12052.html,letter,497,7447,2 May 2013,12052.html,DNA methylation,,,,,,
Extensive transcriptional heterogeneity revealed by isoform profiling,/nature/journal/v497/n7447/full/nature12121.html,letter,497,7447,2 May 2013,12121.html,Next-generation sequencing,Bioinformatics,Transcriptomics,Long non-coding RNAs,,,
The catalytic mechanism for aerobic formation of methane by bacteria,/nature/journal/v497/n7447/full/nature12061.html,letter,497,7447,2 May 2013,12061.html,Enzymes,Enzyme mechanisms,,,,,
Structure of active \u03b2-arrestin-1 bound to a G-protein-coupled receptor phosphopeptide,/nature/journal/v497/n7447/full/nature12120.html,letter,497,7447,2 May 2013,12120.html,X-ray crystallography,G-protein-coupled receptors,,,,,
Crystal structure of pre-activated arrestin p44,/nature/journal/v497/n7447/full/nature12133.html,letter,497,7447,2 May 2013,12133.html,X-ray crystallography,G-protein-coupled receptors,,,,,
Integrated genomic characterization of endometrial carcinoma,/nature/journal/v497/n7447/full/nature12113.html,article,497,7447,2 May 2013,12113.html,Cancer genomics,Endometrial cancer,,,,,
Hippocampal place-cell sequences depict future paths to remembered goals,/nature/journal/v497/n7447/full/nature12112.html,article,497,7447,2 May 2013,12112.html,Learning and memory,Hippocampus,Neurophysiology,Decision,,,
Structures of the human and  Drosophila u 80S ribosome,/nature/journal/v497/n7447/full/nature12104.html,article,497,7447,2 May 2013,12104.html,Cryoelectron microscopy,Ribosome,,,,,
Experimental realization of non-Abelian non-adiabatic geometric gates,/nature/journal/v496/n7446/full/nature12010.html,letter,496,7446,25 April 2013,12010.html,Quantum mechanics,Quantum information,,,,,
Optical magnetic imaging of living cells,/nature/journal/v496/n7446/full/nature12072.html,letter,496,7446,25 April 2013,12072.html,Applied physics,Techniques and applications,Imaging techniques,Cellular imaging,,,
Anomalous sulphur isotopes in plume lavas reveal deep mantle storage of Archaean crust,/nature/journal/v496/n7446/full/nature12020.html,letter,496,7446,25 April 2013,12020.html,Geochemistry,Geology,Petrology,,,,
A systematic genome-wide analysis of zebrafish protein-coding gene function,/nature/journal/v496/n7446/full/nature11992.html,letter,496,7446,25 April 2013,11992.html,Development,,,,,,
The zebrafish reference genome sequence and its relationship to the human genome,/nature/journal/v496/n7446/full/nature12111.html,letter,496,7446,25 April 2013,12111.html,Comparative genomics,,,,,,
The global distribution and burden of dengue,/nature/journal/v496/n7446/full/nature12060.html,letter,496,7446,25 April 2013,12060.html,Viral infection,Statistical methods,Health policy,Experimental models of disease,,,
Diverse type VI secretion phospholipases are functionally plastic antibacterial effectors,/nature/journal/v496/n7446/full/nature12074.html,letter,496,7446,25 April 2013,12074.html,Hydrolases,Bacteriology,Microbial ecology,Lipidomics,,,
Induction of pathogenic T H u17 cells by inducible salt-sensing kinase SGK1,/nature/journal/v496/n7446/full/nature11984.html,letter,496,7446,25 April 2013,11984.html,Autoimmunity,,,,,,
Sodium chloride drives autoimmune disease by the induction of pathogenic T H u17 cells,/nature/journal/v496/n7446/full/nature11868.html,letter,496,7446,25 April 2013,11868.html,Autoimmunity,,,,,,
Follicular T-helper cell recruitment governed by bystander B cells and ICOS-driven motility,/nature/journal/v496/n7446/full/nature12058.html,letter,496,7446,25 April 2013,12058.html,Germinal centres,Imaging the immune system,Follicular T-helper cells,Chemotaxis,,,
High-level semi-synthetic production of the potent antimalarial artemisinin,/nature/journal/v496/n7446/full/nature12051.html,letter,496,7446,25 April 2013,12051.html,Metabolic engineering,Synthetic biology,,,,,
Crystal structure of a eukaryotic phosphate transporter,/nature/journal/v496/n7446/full/nature12042.html,letter,496,7446,25 April 2013,12042.html,X-ray crystallography,Membrane proteins,Ion transport,,,,
Classical command of quantum systems,/nature/journal/v496/n7446/full/nature12035.html,article,496,7446,25 April 2013,12035.html,Quantum information,Computer science,,,,,
Dynamic regulatory network controlling T H u17 cell differentiation,/nature/journal/v496/n7446/full/nature11981.html,article,496,7446,25 April 2013,11981.html,Systems biology,Immunology,Nanoscience and technology,,,,
Co-evolution of a broadly neutralizing HIV-1 antibody and founder virus,/nature/journal/v496/n7446/full/nature12053.html,article,496,7446,25 April 2013,12053.html,Antibodies,HIV infections,,,,,
Accurate assessment of mass models and resolution by small-angle scattering,/nature/journal/v496/n7446/full/nature12070.html,article,496,7446,25 April 2013,12070.html,SAXS,,,,,,
A dust-obscured massive maximum-starburst galaxy at a redshift of 6.34,/nature/journal/v496/n7445/full/nature12050.html,letter,496,7445,18 April 2013,12050.html,Galaxies and clusters,,,,,,
